&0&1&2&3&4&5&6&7&8&9&10
536&10/24/18 04:04:03&SMTP-IN&468A0CC0275349A38A150F0B35332A29.MAI&732&89.108.126.99&DATA&DATA&354 Start mail input; end with <CRLF>.<CRLF>&46&6&
537&10/24/18 04:04:04&SMTP-IN&8F6EB7B1F8C546D284D494F5CE621A8E.MAI&732&89.108.126.99&QUIT&QUIT&221 Service closing transmission channel&42&6&
587&10/24/18 04:23:15&SMTP-IN&D347737092264C368DA73E4484D52A9D.MAI&984&81.30.158.170&&&220 mail.cirkul-m.ru ESMTP MailEnable Service, Version: 9.76-- ready at 10/24/18 04:23:15&0&0&
588&10/24/18 04:23:15&SMTP-IN&D347737092264C368DA73E4484D52A9D.MAI&984&81.30.158.170&EHLO&EHLO mail.dilfinarym.eu&250-cirkul-m.ru [81.30.158.170], this server offers 4 extensions&128&25&
589&10/24/18 04:23:15&SMTP-IN&D347737092264C368DA73E4484D52A9D.MAI&984&81.30.158.170&MAIL&MAIL FROM:<oxbamrl@dilfinarym.eu>&250 Requested mail action okay, completed&43&35&
590&10/24/18 04:23:16&SMTP-IN&D347737092264C368DA73E4484D52A9D.MAI&984&81.30.158.170&RCPT&RCPT TO:<adm@cirkul-m.ru>&250 Requested mail action okay, completed&43&27&
591&10/24/18 04:23:16&SMTP-IN&D347737092264C368DA73E4484D52A9D.MAI&984&81.30.158.170&DATA&DATA&354 Start mail input; end with <CRLF>.<CRLF>&46&6&
592&10/24/18 04:23:16&SMTP-IN&7BE40DF7FF1544578AB504B5E479E822.MAI&984&81.30.158.170&QUIT&QUIT&221 Service closing transmission channel&42&6&
598&10/24/18 04:30:15&SMTP-IN&75E0B7911CEA41F9820FA7B1CC95C0E4.MAI&1028&62.141.39.241&&&220 mail.cirkul-m.ru ESMTP MailEnable Service, Version: 9.76-- ready at 10/24/18 04:30:15&0&0&
599&10/24/18 04:30:15&SMTP-IN&75E0B7911CEA41F9820FA7B1CC95C0E4.MAI&1028&62.141.39.241&EHLO&EHLO mail.moolinger.eu&250-cirkul-m.ru [62.141.39.241], this server offers 4 extensions&128&24&
600&10/24/18 04:30:15&SMTP-IN&75E0B7911CEA41F9820FA7B1CC95C0E4.MAI&1028&62.141.39.241&MAIL&MAIL FROM:<ubronfs@moolinger.eu>&250 Requested mail action okay, completed&43&34&
601&10/24/18 04:30:16&SMTP-IN&75E0B7911CEA41F9820FA7B1CC95C0E4.MAI&1028&62.141.39.241&RCPT&RCPT TO:<adm@cirkul-m.ru>&250 Requested mail action okay, completed&43&27&
602&10/24/18 04:30:16&SMTP-IN&75E0B7911CEA41F9820FA7B1CC95C0E4.MAI&1028&62.141.39.241&DATA&DATA&354 Start mail input; end with <CRLF>.<CRLF>&46&6&
603&10/24/18 04:30:16&SMTP-IN&197C56F384BB43C391B0B978E4ACD669.MAI&1028&62.141.39.241&QUIT&QUIT&221 Service closing transmission channel&42&6&
626&10/24/18 04:37:14&SMTP-IN&2B695CA09E5945819ADB03C115A31EA3.MAI&984&81.30.158.170&&&220 mail.cirkul-m.ru ESMTP MailEnable Service, Version: 9.76-- ready at 10/24/18 04:37:14&0&0&
627&10/24/18 04:37:14&SMTP-IN&2B695CA09E5945819ADB03C115A31EA3.MAI&984&81.30.158.170&EHLO&EHLO mail.dilfinarym.eu&250-cirkul-m.ru [81.30.158.170], this server offers 4 extensions&128&25&
628&10/24/18 04:37:14&SMTP-IN&2B695CA09E5945819ADB03C115A31EA3.MAI&984&81.30.158.170&MAIL&MAIL FROM:<yffypcl@dilfinarym.eu>&250 Requested mail action okay, completed&43&35&
629&10/24/18 04:37:14&SMTP-IN&2B695CA09E5945819ADB03C115A31EA3.MAI&984&81.30.158.170&RCPT&RCPT TO:<info@cirkul-m.ru>&250 Requested mail action okay, completed&43&28&
630&10/24/18 04:37:15&SMTP-IN&2B695CA09E5945819ADB03C115A31EA3.MAI&984&81.30.158.170&DATA&DATA&354 Start mail input; end with <CRLF>.<CRLF>&46&6&
631&10/24/18 04:37:15&SMTP-IN&B0DBBDDA488E4542B9E14E7E2B56283F.MAI&984&81.30.158.170&QUIT&QUIT&221 Service closing transmission channel&42&6&
668&10/24/18 04:45:11&SMTP-IN&10E6B9CE0964401296C1EFE91F5E7545.MAI&864&62.141.39.241&&&220 mail.cirkul-m.ru ESMTP MailEnable Service, Version: 9.76-- ready at 10/24/18 04:45:11&0&0&
669&10/24/18 04:45:11&SMTP-IN&10E6B9CE0964401296C1EFE91F5E7545.MAI&864&62.141.39.241&EHLO&EHLO mail.moolinger.eu&250-cirkul-m.ru [62.141.39.241], this server offers 4 extensions&128&24&
670&10/24/18 04:45:12&SMTP-IN&10E6B9CE0964401296C1EFE91F5E7545.MAI&864&62.141.39.241&MAIL&MAIL FROM:<axwayft@moolinger.eu>&250 Requested mail action okay, completed&43&34&
671&10/24/18 04:45:12&SMTP-IN&10E6B9CE0964401296C1EFE91F5E7545.MAI&864&62.141.39.241&RCPT&RCPT TO:<info@cirkul-m.ru>&250 Requested mail action okay, completed&43&28&
672&10/24/18 04:45:12&SMTP-IN&10E6B9CE0964401296C1EFE91F5E7545.MAI&864&62.141.39.241&DATA&DATA&354 Start mail input; end with <CRLF>.<CRLF>&46&6&
673&10/24/18 04:45:13&SMTP-IN&289B780A9BEF4B6F8A227FC84364A1C8.MAI&864&62.141.39.241&QUIT&QUIT&221 Service closing transmission channel&42&6&
701&10/24/18 04:59:44&SMTP-IN&0C0B259068DE4B76972E39154A968250.MAI&1032&62.141.39.241&&&220 mail.cirkul-m.ru ESMTP MailEnable Service, Version: 9.76-- ready at 10/24/18 04:59:44&0&0&
702&10/24/18 04:59:44&SMTP-IN&0C0B259068DE4B76972E39154A968250.MAI&1032&62.141.39.241&EHLO&EHLO mail.moolinger.eu&250-cirkul-m.ru [62.141.39.241], this server offers 4 extensions&128&24&
703&10/24/18 04:59:44&SMTP-IN&0C0B259068DE4B76972E39154A968250.MAI&1032&62.141.39.241&MAIL&MAIL FROM:<ubmoqby@moolinger.eu>&250 Requested mail action okay, completed&43&34&
704&10/24/18 04:59:44&SMTP-IN&0C0B259068DE4B76972E39154A968250.MAI&1032&62.141.39.241&RCPT&RCPT TO:<oaa@cirkul-m.ru>&250 Requested mail action okay, completed&43&27&
705&10/24/18 04:59:45&SMTP-IN&0C0B259068DE4B76972E39154A968250.MAI&1032&62.141.39.241&DATA&DATA&354 Start mail input; end with <CRLF>.<CRLF>&46&6&
706&10/24/18 04:59:45&SMTP-IN&272421868F3E4D7A8820D5351E510228.MAI&1032&62.141.39.241&QUIT&QUIT&221 Service closing transmission channel&42&6&
739&10/24/18 05:14:15&SMTP-IN&7C87663E6D4F483E8F4CBC2A143CA69B.MAI&796&81.30.158.170&&&220 mail.cirkul-m.ru ESMTP MailEnable Service, Version: 9.76-- ready at 10/24/18 05:14:15&0&0&
740&10/24/18 05:14:15&SMTP-IN&7C87663E6D4F483E8F4CBC2A143CA69B.MAI&796&81.30.158.170&EHLO&EHLO mail.dilfinarym.eu&250-cirkul-m.ru [81.30.158.170], this server offers 4 extensions&128&25&
741&10/24/18 05:14:15&SMTP-IN&7C87663E6D4F483E8F4CBC2A143CA69B.MAI&796&81.30.158.170&MAIL&MAIL FROM:<umtodtv@dilfinarym.eu>&250 Requested mail action okay, completed&43&35&
742&10/24/18 05:14:15&SMTP-IN&7C87663E6D4F483E8F4CBC2A143CA69B.MAI&796&81.30.158.170&RCPT&RCPT TO:<oaa@cirkul-m.ru>&250 Requested mail action okay, completed&43&27&
743&10/24/18 05:14:15&SMTP-IN&7C87663E6D4F483E8F4CBC2A143CA69B.MAI&796&81.30.158.170&DATA&DATA&354 Start mail input; end with <CRLF>.<CRLF>&46&6&
744&10/24/18 05:14:16&SMTP-IN&EE76B25CDC6840D6A2E9B9EB956675B3.MAI&796&81.30.158.170&QUIT&QUIT&221 Service closing transmission channel&42&6&
816&10/24/18 05:43:35&SMTP-IN&1EEB8F57BEF745418D40EBD890268A3D.MAI&1028&213.202.255.68&&&220 mail.cirkul-m.ru ESMTP MailEnable Service, Version: 9.76-- ready at 10/24/18 05:43:35&0&0&
817&10/24/18 05:43:35&SMTP-IN&1EEB8F57BEF745418D40EBD890268A3D.MAI&1028&213.202.255.68&EHLO&EHLO mail.narodny.eu&250-cirkul-m.ru [213.202.255.68], this server offers 4 extensions&129&22&
818&10/24/18 05:43:35&SMTP-IN&1EEB8F57BEF745418D40EBD890268A3D.MAI&1028&213.202.255.68&MAIL&MAIL FROM:<iqheztt@narodny.eu>&250 Requested mail action okay, completed&43&32&
819&10/24/18 05:43:36&SMTP-IN&1EEB8F57BEF745418D40EBD890268A3D.MAI&1028&213.202.255.68&RCPT&RCPT TO:<adm@cirkul-m.ru>&250 Requested mail action okay, completed&43&27&
820&10/24/18 05:43:36&SMTP-IN&1EEB8F57BEF745418D40EBD890268A3D.MAI&1028&213.202.255.68&DATA&DATA&354 Start mail input; end with <CRLF>.<CRLF>&46&6&
821&10/24/18 05:43:36&SMTP-IN&0DF29E04E5234A829E1B90A663817306.MAI&1028&213.202.255.68&QUIT&QUIT&221 Service closing transmission channel&42&6&
839&10/24/18 05:52:07&SMTP-IN&62E9917169764CBDAFA718333C5FE4CE.MAI&736&89.163.225.217&&&220 mail.cirkul-m.ru ESMTP MailEnable Service, Version: 9.76-- ready at 10/24/18 05:52:07&0&0&
840&10/24/18 05:52:07&SMTP-IN&62E9917169764CBDAFA718333C5FE4CE.MAI&736&89.163.225.217&EHLO&EHLO mail.bolinse.eu&250-cirkul-m.ru [89.163.225.217], this server offers 4 extensions&129&22&
841&10/24/18 05:52:08&SMTP-IN&62E9917169764CBDAFA718333C5FE4CE.MAI&736&89.163.225.217&MAIL&MAIL FROM:<affyzfb@bolinse.eu>&250 Requested mail action okay, completed&43&32&
842&10/24/18 05:52:08&SMTP-IN&62E9917169764CBDAFA718333C5FE4CE.MAI&736&89.163.225.217&RCPT&RCPT TO:<info@cirkul-m.ru>&250 Requested mail action okay, completed&43&28&
843&10/24/18 05:52:08&SMTP-IN&62E9917169764CBDAFA718333C5FE4CE.MAI&736&89.163.225.217&DATA&DATA&354 Start mail input; end with <CRLF>.<CRLF>&46&6&
844&10/24/18 05:52:08&SMTP-IN&B29FEF9A1DE248B28AD4871A630FE781.MAI&736&89.163.225.217&QUIT&QUIT&221 Service closing transmission channel&42&6&
850&10/24/18 05:57:09&SMTP-IN&55C109F7718C408ABCBAE41831CA9BA2.MAI&864&104.129.57.36&&&220 mail.cirkul-m.ru ESMTP MailEnable Service, Version: 9.76-- ready at 10/24/18 05:57:09&0&0&
851&10/24/18 05:57:09&SMTP-IN&55C109F7718C408ABCBAE41831CA9BA2.MAI&864&104.129.57.36&EHLO&ehlo WIN-BR8CPBUF43R&250-cirkul-m.ru [104.129.57.36], this server offers 4 extensions&128&22&
852&10/24/18 05:57:09&SMTP-IN&55C109F7718C408ABCBAE41831CA9BA2.MAI&864&104.129.57.36&RSET&Rset&250 Requested mail action okay, completed&43&6&
853&10/24/18 05:57:10&SMTP-IN&55C109F7718C408ABCBAE41831CA9BA2.MAI&864&104.129.57.36&MAIL&Mail from:<spameri@tiscali.it>&250 Requested mail action okay, completed&43&32&
854&10/24/18 05:57:10&SMTP-IN&55C109F7718C408ABCBAE41831CA9BA2.MAI&864&104.129.57.36&RCPT&RCPT to:<spameri@tiscali.it>&503 This mail server requires authentication when attempting to send to a non-local e-mail address. Please check your mail client settings or contact your administrator to verify that the domain or address is defined for this server.&235&30&
855&10/24/18 05:57:10&SMTP-IN&55C109F7718C408ABCBAE41831CA9BA2.MAI&864&104.129.57.36&QUIT&Quit&221 Service closing transmission channel&42&6&
878&10/24/18 06:05:25&SMTP-IN&3998EF177430445AA8ADB5F235BBFEA3.MAI&884&46.249.62.215&&&220 mail.cirkul-m.ru ESMTP MailEnable Service, Version: 9.76-- ready at 10/24/18 06:05:25&0&0&
879&10/24/18 06:05:26&SMTP-IN&3998EF177430445AA8ADB5F235BBFEA3.MAI&884&46.249.62.215&EHLO&EHLO mail.bolgarian.eu&250-cirkul-m.ru [46.249.62.215], this server offers 4 extensions&128&24&
880&10/24/18 06:05:26&SMTP-IN&3998EF177430445AA8ADB5F235BBFEA3.MAI&884&46.249.62.215&MAIL&MAIL FROM:<umnackc@bolgarian.eu>&250 Requested mail action okay, completed&43&34&
881&10/24/18 06:05:26&SMTP-IN&3998EF177430445AA8ADB5F235BBFEA3.MAI&884&46.249.62.215&RCPT&RCPT TO:<adm@cirkul-m.ru>&250 Requested mail action okay, completed&43&27&
882&10/24/18 06:05:26&SMTP-IN&3998EF177430445AA8ADB5F235BBFEA3.MAI&884&46.249.62.215&DATA&DATA&354 Start mail input; end with <CRLF>.<CRLF>&46&6&
883&10/24/18 06:05:27&SMTP-IN&D638BA54908D4A5798627DE7BD0E6723.MAI&884&46.249.62.215&QUIT&QUIT&221 Service closing transmission channel&42&6&
889&10/24/18 06:07:56&SMTP-IN&77EB5EE008524B42AAFCF856092A67CF.MAI&1012&213.202.255.68&&&220 mail.cirkul-m.ru ESMTP MailEnable Service, Version: 9.76-- ready at 10/24/18 06:07:56&0&0&
890&10/24/18 06:07:56&SMTP-IN&77EB5EE008524B42AAFCF856092A67CF.MAI&1012&213.202.255.68&EHLO&EHLO mail.narodny.eu&250-cirkul-m.ru [213.202.255.68], this server offers 4 extensions&129&22&
891&10/24/18 06:07:56&SMTP-IN&77EB5EE008524B42AAFCF856092A67CF.MAI&1012&213.202.255.68&MAIL&MAIL FROM:<idvelwq@narodny.eu>&250 Requested mail action okay, completed&43&32&
892&10/24/18 06:07:57&SMTP-IN&77EB5EE008524B42AAFCF856092A67CF.MAI&1012&213.202.255.68&RCPT&RCPT TO:<info@cirkul-m.ru>&250 Requested mail action okay, completed&43&28&
893&10/24/18 06:07:57&SMTP-IN&77EB5EE008524B42AAFCF856092A67CF.MAI&1012&213.202.255.68&DATA&DATA&354 Start mail input; end with <CRLF>.<CRLF>&46&6&
894&10/24/18 06:07:57&SMTP-IN&5DC5FF2DAA734F85BA15806DF6652F96.MAI&1012&213.202.255.68&QUIT&QUIT&221 Service closing transmission channel&42&6&
919&10/24/18 06:12:45&SMTP-IN&3400266C1C18411EB2E9A6F8DF03F39C.MAI&1008&46.249.62.215&&&220 mail.cirkul-m.ru ESMTP MailEnable Service, Version: 9.76-- ready at 10/24/18 06:12:45&0&0&
920&10/24/18 06:12:45&SMTP-IN&3400266C1C18411EB2E9A6F8DF03F39C.MAI&1008&46.249.62.215&EHLO&EHLO mail.bolgarian.eu&250-cirkul-m.ru [46.249.62.215], this server offers 4 extensions&128&24&
921&10/24/18 06:12:45&SMTP-IN&3400266C1C18411EB2E9A6F8DF03F39C.MAI&1008&46.249.62.215&MAIL&MAIL FROM:<uvkuqjm@bolgarian.eu>&250 Requested mail action okay, completed&43&34&
922&10/24/18 06:12:46&SMTP-IN&3400266C1C18411EB2E9A6F8DF03F39C.MAI&1008&46.249.62.215&RCPT&RCPT TO:<oaa@cirkul-m.ru>&250 Requested mail action okay, completed&43&27&
923&10/24/18 06:12:46&SMTP-IN&3400266C1C18411EB2E9A6F8DF03F39C.MAI&1008&46.249.62.215&DATA&DATA&354 Start mail input; end with <CRLF>.<CRLF>&46&6&
924&10/24/18 06:12:46&SMTP-IN&972858404C614C1C809EDEDAB92212D6.MAI&1008&46.249.62.215&QUIT&QUIT&221 Service closing transmission channel&42&6&
1018&10/24/18 06:54:59&SMTP-IN&274F1888A7EE48D9BD20429936C84B8F.MAI&796&89.163.225.217&&&220 mail.cirkul-m.ru ESMTP MailEnable Service, Version: 9.76-- ready at 10/24/18 06:54:59&0&0&
1019&10/24/18 06:54:59&SMTP-IN&274F1888A7EE48D9BD20429936C84B8F.MAI&796&89.163.225.217&EHLO&EHLO mail.bolinse.eu&250-cirkul-m.ru [89.163.225.217], this server offers 4 extensions&129&22&
1020&10/24/18 06:54:59&SMTP-IN&274F1888A7EE48D9BD20429936C84B8F.MAI&796&89.163.225.217&MAIL&MAIL FROM:<esxiqjx@bolinse.eu>&250 Requested mail action okay, completed&43&32&
1021&10/24/18 06:55:00&SMTP-IN&274F1888A7EE48D9BD20429936C84B8F.MAI&796&89.163.225.217&RCPT&RCPT TO:<adm@cirkul-m.ru>&250 Requested mail action okay, completed&43&27&
1022&10/24/18 06:55:00&SMTP-IN&274F1888A7EE48D9BD20429936C84B8F.MAI&796&89.163.225.217&DATA&DATA&354 Start mail input; end with <CRLF>.<CRLF>&46&6&
1023&10/24/18 06:55:00&SMTP-IN&06182C43E15E41A2BB817CB2A91AC768.MAI&796&89.163.225.217&QUIT&QUIT&221 Service closing transmission channel&42&6&
1024&10/24/18 06:55:37&SMTP-IN&98E7CE9FACB54A649AF095F738A33231.MAI&1032&46.249.62.215&&&220 mail.cirkul-m.ru ESMTP MailEnable Service, Version: 9.76-- ready at 10/24/18 06:55:37&0&0&
1025&10/24/18 06:55:37&SMTP-IN&98E7CE9FACB54A649AF095F738A33231.MAI&1032&46.249.62.215&EHLO&EHLO mail.bolgarian.eu&250-cirkul-m.ru [46.249.62.215], this server offers 4 extensions&128&24&
1026&10/24/18 06:55:37&SMTP-IN&98E7CE9FACB54A649AF095F738A33231.MAI&1032&46.249.62.215&MAIL&MAIL FROM:<ecparsy@bolgarian.eu>&250 Requested mail action okay, completed&43&34&
1027&10/24/18 06:55:38&SMTP-IN&98E7CE9FACB54A649AF095F738A33231.MAI&1032&46.249.62.215&RCPT&RCPT TO:<info@cirkul-m.ru>&250 Requested mail action okay, completed&43&28&
1028&10/24/18 06:55:38&SMTP-IN&98E7CE9FACB54A649AF095F738A33231.MAI&1032&46.249.62.215&DATA&DATA&354 Start mail input; end with <CRLF>.<CRLF>&46&6&
1029&10/24/18 06:55:38&SMTP-IN&740A29D7B82F4E51AE97B99F3D3E8C15.MAI&1032&46.249.62.215&QUIT&QUIT&221 Service closing transmission channel&42&6&
1030&10/24/18 06:58:54&SMTP-IN&0F28D89A2AA14B27B686F11B6F242B10.MAI&968&46.249.59.77&&&220 mail.cirkul-m.ru ESMTP MailEnable Service, Version: 9.76-- ready at 10/24/18 06:58:54&0&0&
1031&10/24/18 06:58:54&SMTP-IN&0F28D89A2AA14B27B686F11B6F242B10.MAI&968&46.249.59.77&EHLO&EHLO mail.arkasen.eu&250-cirkul-m.ru [46.249.59.77], this server offers 4 extensions&127&22&
1032&10/24/18 06:58:54&SMTP-IN&0F28D89A2AA14B27B686F11B6F242B10.MAI&968&46.249.59.77&MAIL&MAIL FROM:<elnojkx@arkasen.eu>&250 Requested mail action okay, completed&43&32&
1033&10/24/18 06:58:55&SMTP-IN&0F28D89A2AA14B27B686F11B6F242B10.MAI&968&46.249.59.77&RCPT&RCPT TO:<adm@cirkul-m.ru>&250 Requested mail action okay, completed&43&27&
1034&10/24/18 06:58:55&SMTP-IN&0F28D89A2AA14B27B686F11B6F242B10.MAI&968&46.249.59.77&DATA&DATA&354 Start mail input; end with <CRLF>.<CRLF>&46&6&
1035&10/24/18 06:58:55&SMTP-IN&1534B69702FF443A96E7BA3A8F060FD2.MAI&968&46.249.59.77&QUIT&QUIT&221 Service closing transmission channel&42&6&
1048&10/24/18 07:01:55&SMTP-IN&9F5C252BC3944AA0BA06607924A8975C.MAI&1012&213.202.255.68&&&220 mail.cirkul-m.ru ESMTP MailEnable Service, Version: 9.76-- ready at 10/24/18 07:01:55&0&0&
1049&10/24/18 07:01:55&SMTP-IN&9F5C252BC3944AA0BA06607924A8975C.MAI&1012&213.202.255.68&EHLO&EHLO mail.narodny.eu&250-cirkul-m.ru [213.202.255.68], this server offers 4 extensions&129&22&
1050&10/24/18 07:01:55&SMTP-IN&9F5C252BC3944AA0BA06607924A8975C.MAI&1012&213.202.255.68&MAIL&MAIL FROM:<uykejtp@narodny.eu>&250 Requested mail action okay, completed&43&32&
1051&10/24/18 07:01:55&SMTP-IN&9F5C252BC3944AA0BA06607924A8975C.MAI&1012&213.202.255.68&RCPT&RCPT TO:<oaa@cirkul-m.ru>&250 Requested mail action okay, completed&43&27&
1052&10/24/18 07:01:56&SMTP-IN&9F5C252BC3944AA0BA06607924A8975C.MAI&1012&213.202.255.68&DATA&DATA&354 Start mail input; end with <CRLF>.<CRLF>&46&6&
1053&10/24/18 07:01:56&SMTP-IN&5FCD0A97B1F5428B98F45A6BB1C1B016.MAI&1012&213.202.255.68&QUIT&QUIT&221 Service closing transmission channel&42&6&
1069&10/24/18 07:07:56&SMTP-IN&161C301816914939A660F908C45E0C42.MAI&796&46.249.59.77&&&220 mail.cirkul-m.ru ESMTP MailEnable Service, Version: 9.76-- ready at 10/24/18 07:07:56&0&0&
1070&10/24/18 07:07:56&SMTP-IN&161C301816914939A660F908C45E0C42.MAI&796&46.249.59.77&EHLO&EHLO mail.arkasen.eu&250-cirkul-m.ru [46.249.59.77], this server offers 4 extensions&127&22&
1071&10/24/18 07:07:56&SMTP-IN&161C301816914939A660F908C45E0C42.MAI&796&46.249.59.77&MAIL&MAIL FROM:<asyybdd@arkasen.eu>&250 Requested mail action okay, completed&43&32&
1072&10/24/18 07:07:57&SMTP-IN&161C301816914939A660F908C45E0C42.MAI&796&46.249.59.77&RCPT&RCPT TO:<oaa@cirkul-m.ru>&250 Requested mail action okay, completed&43&27&
1073&10/24/18 07:07:57&SMTP-IN&161C301816914939A660F908C45E0C42.MAI&796&46.249.59.77&DATA&DATA&354 Start mail input; end with <CRLF>.<CRLF>&46&6&
1074&10/24/18 07:07:57&SMTP-IN&0FA73132D7614A4DAFF18FAE5DDEE798.MAI&796&46.249.59.77&QUIT&QUIT&221 Service closing transmission channel&42&6&
1204&10/24/18 08:00:00&SMTP-IN&4EDBE0D84C7649DBAD16D2B870A5F8BD.MAI&984&192.168.5.2&&&220 mail.cirkul-m.ru ESMTP MailEnable Service, Version: 9.76-- ready at 10/24/18 08:00:00&0&0&
1205&10/24/18 08:00:00&SMTP-IN&4EDBE0D84C7649DBAD16D2B870A5F8BD.MAI&984&192.168.5.2&HELO&HELO ad1.cirkul-m.ru&250 Requested mail action okay, completed&43&22&
1206&10/24/18 08:00:00&SMTP-IN&4EDBE0D84C7649DBAD16D2B870A5F8BD.MAI&984&192.168.5.2&MAIL&MAIL FROM: <info@cirkul-m.ru>&250 Requested mail action okay, completed&43&31&
1207&10/24/18 08:00:01&SMTP-IN&4EDBE0D84C7649DBAD16D2B870A5F8BD.MAI&984&192.168.5.2&RCPT&RCPT TO: <info@cirkul-m.ru>&250 Requested mail action okay, completed&43&29&
1208&10/24/18 08:00:02&SMTP-IN&4EDBE0D84C7649DBAD16D2B870A5F8BD.MAI&984&192.168.5.2&DATA&DATA&354 Start mail input; end with <CRLF>.<CRLF>&46&6&
1209&10/24/18 08:00:02&SMTP-IN&DBA973553A2A4AAB9B4185378AE5271D.MAI&984&192.168.5.2&QUIT&QUIT&221 Service closing transmission channel&42&6&
1286&10/24/18 08:34:31&SMTP-IN&0421019E926444C7B08DE5109B125DBF.MAI&908&46.249.59.77&&&220 mail.cirkul-m.ru ESMTP MailEnable Service, Version: 9.76-- ready at 10/24/18 08:34:31&0&0&
1287&10/24/18 08:34:31&SMTP-IN&0421019E926444C7B08DE5109B125DBF.MAI&908&46.249.59.77&EHLO&EHLO mail.arkasen.eu&250-cirkul-m.ru [46.249.59.77], this server offers 4 extensions&127&22&
1288&10/24/18 08:34:31&SMTP-IN&0421019E926444C7B08DE5109B125DBF.MAI&908&46.249.59.77&MAIL&MAIL FROM:<abmutlj@arkasen.eu>&250 Requested mail action okay, completed&43&32&
1289&10/24/18 08:34:31&SMTP-IN&0421019E926444C7B08DE5109B125DBF.MAI&908&46.249.59.77&RCPT&RCPT TO:<info@cirkul-m.ru>&250 Requested mail action okay, completed&43&28&
1290&10/24/18 08:34:32&SMTP-IN&0421019E926444C7B08DE5109B125DBF.MAI&908&46.249.59.77&DATA&DATA&354 Start mail input; end with <CRLF>.<CRLF>&46&6&
1291&10/24/18 08:34:32&SMTP-IN&EF6FBBECE264410FA0A4E1AA869DC251.MAI&908&46.249.59.77&QUIT&QUIT&221 Service closing transmission channel&42&6&
1421&10/24/18 09:29:57&SMTP-IN&C719468C44174C00B80683A355CC8B5E.MAI&1028&185.25.116.83&&&220 mail.cirkul-m.ru ESMTP MailEnable Service, Version: 9.76-- ready at 10/24/18 09:29:57&0&0&
1422&10/24/18 09:29:57&SMTP-IN&C719468C44174C00B80683A355CC8B5E.MAI&1028&185.25.116.83&EHLO&EHLO mail.bh-d.in.ua&250-cirkul-m.ru [185.25.116.83], this server offers 4 extensions&128&22&
1423&10/24/18 09:29:57&SMTP-IN&C719468C44174C00B80683A355CC8B5E.MAI&1028&185.25.116.83&MAIL&MAIL FROM:<bounce+oaa=cirkul-m.ru@bh-d.in.ua>&250 Requested mail action okay, completed&43&47&
1424&10/24/18 09:29:57&SMTP-IN&C719468C44174C00B80683A355CC8B5E.MAI&1028&185.25.116.83&RCPT&RCPT TO:<oaa@cirkul-m.ru>&250 Requested mail action okay, completed&43&27&
1425&10/24/18 09:29:57&SMTP-IN&C719468C44174C00B80683A355CC8B5E.MAI&1028&185.25.116.83&DATA&DATA&354 Start mail input; end with <CRLF>.<CRLF>&46&6&
1426&10/24/18 09:29:58&SMTP-IN&2236D5A89E2E4762AD85E1C21AB28FFF.MAI&1028&185.25.116.83&QUIT&QUIT&221 Service closing transmission channel&42&6&
1447&10/24/18 09:37:29&SMTP-IN&EC821D1E1DF1486BB977F13B7B9E1E11.MAI&884&81.177.26.172&&&220 mail.cirkul-m.ru ESMTP MailEnable Service, Version: 9.76-- ready at 10/24/18 09:37:29&0&0&
